Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Matrícula Total/ Mts2 contruidos Bibliotecas,2.997841338
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Matrícula Total/ Mts2 contruidos Bibliotecas,2.300363636
(a) Universidades Estatales CRUCH,U. DE TALCA,Matrícula Total/ Mts2 contruidos Bibliotecas,2.406455592
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Matrícula Total/ Mts2 contruidos Bibliotecas,2.500660211
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total/ Mts2 contruidos Bibliotecas,1.729930506
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Matrícula Total/ Mts2 contruidos Bibliotecas,4.429333333
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Matrícula Total/ Mts2 contruidos Bibliotecas,1.259803922
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Matrícula Total/ Mts2 contruidos Bibliotecas,3.948138854
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Matrícula Total/ Mts2 contruidos Bibliotecas,1.343042708
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Matrícula Total/ Mts2 contruidos Bibliotecas,
(a) Universidades Estatales CRUCH,U. DE CHILE,Matrícula Total/ Mts2 contruidos Bibliotecas,1.400844031
(a) Universidades Estatales CRUCH,U. DE AYSEN,Matrícula Total/ Mts2 contruidos Bibliotecas,5.710144928
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Matrícula Total/ Mts2 contruidos Bibliotecas,1.929401758
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Matrícula Total/ Mts2 contruidos Bibliotecas,1.300489396
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Matrícula Total/ Mts2 contruidos Bibliotecas,2.659883721
(b) Universidades Privadas CRUCH,U. TÉCNICA FEDERICO SANTA MARÍA,Matrícula Total / Mts2 Laboratorios,0.781286456
(b) Universidades Privadas CRUCH,U. DIEGO PORTALES,Matrícula Total / Mts2 Laboratorios,1.636816355
(b) Universidades Privadas CRUCH,U. DE CONCEPCIÓN,Matrícula Total / Mts2 Laboratorios,0.825391403
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL NORTE,Matrícula Total / Mts2 Laboratorios,0.536632892
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL MAULE,Matrícula Total / Mts2 Laboratorios,0.348353816
(b) Universidades Privadas CRUCH,U. CATÓLICA DE TEMUCO,Matrícula Total / Mts2 Laboratorios,1.012271475
(b) Universidades Privadas CRUCH,U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,Matrícula Total / Mts2 Laboratorios,2.405775578
(b) Universidades Privadas CRUCH,U. AUSTRAL DE CHILE,Matrícula Total / Mts2 Laboratorios,0.732394954
(b) Universidades Privadas CRUCH,U. ALBERTO HURTADO,Matrícula Total / Mts2 Laboratorios,5.904580153
(b) Universidades Privadas CRUCH,PONTIFICIA U. CATÓLICA DE VALPARAÍSO,Matrícula Total / Mts2 Laboratorios,0.798860118
(b) Universidades Privadas CRUCH,PONTIFICIA U. CATÓLICA DE CHILE,Matrícula Total / Mts2 Laboratorios,0.890737463
(b) Universidades Privadas CRUCH,U. TÉCNICA FEDERICO SANTA MARÍA,Mts2 de Terrenos/Matrícula Total,21.063330244
(b) Universidades Privadas CRUCH,U. DIEGO PORTALES,Mts2 de Terrenos/Matrícula Total,4.369949293
(b) Universidades Privadas CRUCH,U. DE CONCEPCIÓN,Mts2 de Terrenos/Matrícula Total,35.876327769
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL NORTE,Mts2 de Terrenos/Matrícula Total,58.395515614
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL MAULE,Mts2 de Terrenos/Matrícula Total,39.739895470
(b) Universidades Privadas CRUCH,U. CATÓLICA DE TEMUCO,Mts2 de Terrenos/Matrícula Total,48.837044367
(b) Universidades Privadas CRUCH,U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,Mts2 de Terrenos/Matrícula Total,15.164483161
(b) Universidades Privadas CRUCH,U. AUSTRAL DE CHILE,Mts2 de Terrenos/Matrícula Total,56.415112632
(b) Universidades Privadas CRUCH,U. ALBERTO HURTADO,Mts2 de Terrenos/Matrícula Total,3.500323206
(b) Universidades Privadas CRUCH,PONTIFICIA U. CATÓLICA DE VALPARAÍSO,Mts2 de Terrenos/Matrícula Total,120.359979776
(b) Universidades Privadas CRUCH,PONTIFICIA U. CATÓLICA DE CHILE,Mts2 de Terrenos/Matrícula Total,16.200609352
(b) Universidades Privadas CRUCH,U. TÉCNICA FEDERICO SANTA MARÍA,Mts2 de Inmuebles/ Matrícula Total,9.443311708
(b) Universidades Privadas CRUCH,U. DIEGO PORTALES,Mts2 de Inmuebles/ Matrícula Total,7.234320790
(b) Universidades Privadas CRUCH,U. DE CONCEPCIÓN,Mts2 de Inmuebles/ Matrícula Total,9.025796662
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL NORTE,Mts2 de Inmuebles/ Matrícula Total,10.835875091
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL MAULE,Mts2 de Inmuebles/ Matrícula Total,5.875783972
